rht-business |192.168.0.112 |2023-07-12 10:27:58.812 |  INFO | main | org.eclipse.jetty.server.Server : 359 | jetty-9.4.26.v20200117; built: 2020-01-17T12:35:33.676Z; git: 7b38981d25d14afb4a12ff1f2596756144edf695; jvm 11.0.13+7-b1751.19
rht-business |192.168.0.112 |2023-07-12 10:27:58.826 |  INFO | main | org.eclipse.jetty.server.handler.ContextHandler$Context : 2223 | Initializing Spring embedded WebApplicationContext
rht-business |192.168.0.112 |2023-07-12 10:27:58.827 |  INFO | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : 284 | Root WebApplicationContext: initialization completed in 1029 ms
rht-business |192.168.0.112 |2023-07-12 10:27:59.128 |  INFO | main | org.redisson.Version : 41 | Redisson 3.11.6
rht-business |192.168.0.112 |2023-07-12 10:27:59.268 |  INFO | redisson-netty-2-28 | org.redisson.connection.pool.ConnectionPool$1 : 168 | 1 connections initialized for r-2zeuf73k5nrun9v7k2pd.redis.rds.aliyuncs.com/112.126.124.231:6379
rht-business |192.168.0.112 |2023-07-12 10:27:59.270 |  INFO | redisson-netty-2-20 | org.redisson.connection.pool.ConnectionPool$1 : 168 | 24 connections initialized for r-2zeuf73k5nrun9v7k2pd.redis.rds.aliyuncs.com/112.126.124.231:6379
rht-business |192.168.0.112 |2023-07-12 10:27:59.398 |  INFO | main | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 171 | Initializing ExecutorService 'taskScheduler'
rht-business |192.168.0.112 |2023-07-12 10:27:59.401 | DEBUG | main | org.hibernate.validator.internal.engine.resolver.TraversableResolvers : 60 | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
rht-business |192.168.0.112 |2023-07-12 10:27:59.402 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 120 | Trying to load META-INF/validation.xml for XML based Validator configuration.
rht-business |192.168.0.112 |2023-07-12 10:27:59.402 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 60 | Trying to load META-INF/validation.xml via TCCL
rht-business |192.168.0.112 |2023-07-12 10:27:59.402 | DEBUG | main | org.hibernate.validator.internal.xml.config.ResourceLoaderHelper : 66 | Trying to load META-INF/validation.xml via Hibernate Validator's class loader
rht-business |192.168.0.112 |2023-07-12 10:27:59.402 | DEBUG | main | org.hibernate.validator.internal.xml.config.ValidationXmlParser : 127 | No META-INF/validation.xml found. Using annotation based configuration only.
rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator : 89 | Loaded expression factory via original TCCL
rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 578 | HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
rht-business |192.168.0.112 |2023-07-12 10:27:59.405 | DEBUG | main | org.hibernate.validator.internal.engine.ValidatorFactoryImpl : 579 | HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
